Training perturbation,Test-retest,Diff,Diff > 0
0.921121214,0.580395259,0.340725955,1
0.687493225,0.368517073,0.318976152,1
0.773493518,0.497378957,0.276114561,1
0.821671805,0.526921858,0.294749947,1
0.987555881,0.735928191,0.25162769,1
0.94307076,0.826717534,0.116353226,1
0.953220814,0.832801812,0.120419002,1
0.960768262,0.738579178,0.222189084,1
0.943494866,0.816733873,0.126760993,1
0.796033024,0.477514869,0.318518155,1
0.791363954,0.523247819,0.268116135,1
0.962740437,0.771131429,0.191609008,1
0.716349299,0.58928546,0.127063839,1
0.785993681,0.556228419,0.229765262,1
0.65471203,0.446033514,0.208678516,1
0.946640216,0.887747882,0.058892334,1
0.915741774,0.796191207,0.119550567,1
0.971613468,0.921250561,0.050362907,1
0.640373066,0.266317353,0.374055713,1
0.824980653,0.522850461,0.302130192,1
0.762622379,0.518202802,0.244419577,1
0.714648875,0.505788143,0.208860732,1
0.695366484,0.569284831,0.126081653,1
0.419812257,0.223094512,0.196717745,1
0.93656927,0.692875191,0.243694079,1
0.931739071,0.806743848,0.124995223,1
0.946822263,0.882903406,0.063918857,1
0.94423921,0.769438126,0.174801084,1
0.9978208,0.875515975,0.122304825,1
0.927622117,0.78473758,0.142884537,1
0.949719106,0.764768879,0.184950227,1
0.992380669,0.916262821,0.076117848,1
0.840277501,0.620975359,0.219302142,1
0.81846125,0.5109596,0.30750165,1
0.955849159,0.804401488,0.151447671,1
0.925981984,0.666183934,0.25979805,1
0.553289581,0.352558729,0.200730852,1
0.762019503,0.487235233,0.27478427,1
0.918266962,0.811488093,0.106778869,1
0.898088123,0.790565786,0.107522337,1
0.790084087,0.671968157,0.11811593,1
0.998134288,0.921697929,0.076436359,1
0.97036797,0.825843758,0.144524212,1
0.858728167,0.782607797,0.07612037,1
0.870142257,0.703261506,0.166880751,1
0.9483427,0.815175567,0.133167133,1
0.768924394,0.78650823,-0.017583836,0
0.92324634,0.701699629,0.221546711,1
0.404420518,0.670060069,-0.265639551,0
0.796996354,0.585007271,0.211989083,1
