,ICC,Lower,Higher
log-sigma-1-mm-3D_glrlm_GrayLevelNonUniformity_32_binCount,0.9919295488677936,0.9912510421505236,0.9925556355202462
log-sigma-1-mm-3D_glrlm_GrayLevelNonUniformityNormalized_32_binCount,0.7556930561477749,0.737769257032443,0.7725522610318133
log-sigma-1-mm-3D_glrlm_GrayLevelVariance_32_binCount,0.7663145203137651,0.7490585411162031,0.7825315895319064
log-sigma-1-mm-3D_glrlm_HighGrayLevelRunEmphasis_32_binCount,0.33009506548721174,0.29351550354181155,0.3657100453986528
log-sigma-1-mm-3D_glrlm_LongRunEmphasis_32_binCount,0.8013502340896016,0.7863683231833414,0.8153901779851132
log-sigma-1-mm-3D_glrlm_LongRunHighGrayLevelEmphasis_32_binCount,0.6581812210267544,0.6345928670676845,0.6805447169972645
log-sigma-1-mm-3D_glrlm_LongRunLowGrayLevelEmphasis_32_binCount,0.5177358722452968,0.48744241697557084,0.546784137888922
log-sigma-1-mm-3D_glrlm_LowGrayLevelRunEmphasis_32_binCount,0.4101992181276682,0.37592679970445353,0.4433504764231318
log-sigma-1-mm-3D_glrlm_RunEntropy_32_binCount,0.639950794812747,0.6153965670606293,0.6632644863222281
log-sigma-1-mm-3D_glrlm_RunLengthNonUniformity_32_binCount,0.9577676002182686,0.9542825675565584,0.9609922658154606
log-sigma-1-mm-3D_glrlm_RunLengthNonUniformityNormalized_32_binCount,0.823781603131258,0.8103130646430301,0.8363803540207018
log-sigma-1-mm-3D_glrlm_RunPercentage_32_binCount,0.831804678773736,0.818888225167037,0.8438791078451753
log-sigma-1-mm-3D_glrlm_RunVariance_32_binCount,0.7678222989488328,0.7506614786071488,0.7839479087083377
log-sigma-1-mm-3D_glrlm_ShortRunEmphasis_32_binCount,0.8223321901166754,0.8087645534204413,0.8350251401743588
log-sigma-1-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis_32_binCount,0.34818704494951386,0.31207949440530275,0.3832904652043465
log-sigma-1-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis_32_binCount,0.44925599817982886,0.41631433918211463,0.4810193666040755
log-sigma-1-mm-3D_glszm_GrayLevelNonUniformity_32_binCount,0.9494648421947556,0.9453130903171738,0.9533089086938076
log-sigma-1-mm-3D_glszm_GrayLevelNonUniformityNormalized_32_binCount,0.6390730026366986,0.614469103879894,0.6624350589413793
log-sigma-1-mm-3D_glszm_GrayLevelVariance_32_binCount,0.6956140398589128,0.6741005446703638,0.7159485344025669
log-sigma-1-mm-3D_glszm_HighGrayLevelZoneEmphasis_32_binCount,0.3358931984573921,0.2994642186441212,0.3713449812841806
log-sigma-1-mm-3D_glszm_LargeAreaEmphasis_32_binCount,0.9715574513336936,0.969192521643197,0.9737432586132373
log-sigma-1-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis_32_binCount,0.9560678604324372,0.9524461135742366,0.9594195080326424
log-sigma-1-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis_32_binCount,0.9590059429776985,0.9556208652968224,0.9621378178948471
log-sigma-1-mm-3D_glszm_LowGrayLevelZoneEmphasis_32_binCount,0.4789924823589497,0.44715526274620515,0.5096174702201357
log-sigma-1-mm-3D_glszm_SizeZoneNonUniformity_32_binCount,0.7424429995217428,0.723699813402107,0.7600918433953234
log-sigma-1-mm-3D_glszm_SizeZoneNonUniformityNormalized_32_binCount,0.6868569083279196,0.6648444356431478,0.7076775250882
log-sigma-1-mm-3D_glszm_SmallAreaEmphasis_32_binCount,0.6610570677328028,0.6376195738810548,0.6832718509456811
log-sigma-1-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis_32_binCount,0.37416862777713983,0.33880159088390494,0.40848053984439214
log-sigma-1-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis_32_binCount,0.5287454023680142,0.4989272669285222,0.5573137245554076
log-sigma-1-mm-3D_glszm_ZoneEntropy_32_binCount,0.7899877240455344,0.7742556544343229,0.8047441768940095
log-sigma-1-mm-3D_glszm_ZonePercentage_32_binCount,0.828802925321059,0.815679344961029,0.8410739918444609
log-sigma-1-mm-3D_glszm_ZoneVariance_32_binCount,0.9715980396160666,0.9692364317880219,0.9737807694043972
log-sigma-1-mm-3D_gldm_DependenceEntropy_32_binCount,0.715161349845168,0.6947803227003758,0.7343948774223263
log-sigma-1-mm-3D_gldm_DependenceNonUniformity_32_binCount,0.9748857392616268,0.9727939073316556,0.9768186357706277
log-sigma-1-mm-3D_gldm_DependenceNonUniformityNormalized_32_binCount,0.8168074253100653,0.8028627663052068,0.8298588409319602
log-sigma-1-mm-3D_gldm_DependenceVariance_32_binCount,0.8040748258414193,0.7892743560634843,0.8179416711476094
log-sigma-1-mm-3D_gldm_GrayLevelNonUniformity_32_binCount,0.9871669078362654,0.9860907641789011,0.9881602914080923
log-sigma-1-mm-3D_gldm_GrayLevelVariance_32_binCount,0.7668043122359341,0.7495793764574094,0.7829915646717794
log-sigma-1-mm-3D_gldm_HighGrayLevelEmphasis_32_binCount,0.3288651041633591,0.292254235760755,0.36451412916913783
log-sigma-1-mm-3D_gldm_LargeDependenceEmphasis_32_binCount,0.8287512719348075,0.8156242309867056,0.8410256381932534
log-sigma-1-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis_32_binCount,0.6547464143741987,0.6309740152113393,0.6772907026415211
log-sigma-1-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis_32_binCount,0.5472027114035704,0.5181729593220054,0.5749728344477537
log-sigma-1-mm-3D_gldm_LowGrayLevelEmphasis_32_binCount,0.40605345225634293,0.3716475412517367,0.439345029959859
log-sigma-1-mm-3D_gldm_SmallDependenceEmphasis_32_binCount,0.8144788072083764,0.8003770672171628,0.8276798246590656
log-sigma-1-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis_32_binCount,0.8094300397052675,0.7949865400399111,0.8229563513586459
log-sigma-1-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis_32_binCount,0.6680583649153637,0.6450015103601778,0.6898999600708727
log-sigma-1-mm-3D_ngtdm_Busyness_32_binCount,0.9719950732650624,0.9696662329083674,0.9741474842029908
